#,SKU Code,SKU Name (original),Folder Name,Brand,Manufacturer,Pack,MRP,Image Count
1,4a032fcc-b058-46e2-9fda-0834c74019c0,"Ajay 101 - Hard Thoothbrush , 50 Pcs","Ajay 101 - Hard Thoothbrush , 50 Pcs",Ajay,Raghav Lifestyle Products,50 Pcs,20,0
2,100bd47e-359f-47a0-80d8-43bd31e4c33a,"Ajay 101 - Medium Hard Thoothbrush , 50 Pcs","Ajay 101 - Medium Hard Thoothbrush , 50 Pcs",Ajay,Raghav Lifestyle Products,50 Pcs,20,0
3,7959e724-e04f-4d00-912e-08e99e40dce4,"Ajay 101 - Medium Quest Thoothbrush, 12 Pcs","Ajay 101 - Medium Quest Thoothbrush, 12 Pcs",Ajay,Raghav Lifestyle Products,12 Pcs,20,0
4,2a0351de-d521-44ac-a2a9-9ec1c4483b5f,"Ajay 101 - Soft Thoothbrush, 50 Pcs","Ajay 101 - Soft Thoothbrush, 50 Pcs",Ajay,Raghav Lifestyle Products,50 Pcs,1000,0
5,b931bccf-ea84-42ac-ad6e-e69ad549f9c7,"Ajay 101 - Soft Quest Thoothbrush, 12 Pcs","Ajay 101 - Soft Quest Thoothbrush, 12 Pcs",Ajay,Raghav Lifestyle Products,12 Pcs,20,0
6,95a8d67a-79d1-45c8-aa4f-02267b1f43c3,"Ajay 103 - Junior Complete Thoothbrush, 12 Pcs","Ajay 103 - Junior Complete Thoothbrush, 12 Pcs",Ajay,Raghav Lifestyle Products,12 Pcs,18,0
7,7709a9b6-a4a3-4ef1-9b8d-88ef32c1922c,"Ajay 104 - Comfort Thoothbrush, 12 Pcs","Ajay 104 - Comfort Thoothbrush, 12 Pcs",Ajay,Raghav Lifestyle Products,12 Pcs,10,0
8,e86a41fb-5c9d-4f5d-a361-8a2c1a436c79,"Ajay 107 - Complete Thoothbrush, 12 Pcs","Ajay 107 - Complete Thoothbrush, 12 Pcs",Ajay,Raghav Lifestyle Products,12 Pcs,18,0
9,34ef4eaa-19c1-48dd-af90-85d213406b0b,"Ajay 108 - Thoothbrush, 12 Pcs","Ajay 108 - Thoothbrush, 12 Pcs",Ajay,Raghav Lifestyle Products,12 Pcs,25,0
10,54cd2868-1098-489e-8fec-0be4eed927dd,"Ajay 109 - Sensitive Plus Thoothbrush, 32 Pcs","Ajay 109 - Sensitive Plus Thoothbrush, 32 Pcs",Ajay,Raghav Lifestyle Products,32 Pcs,36,0
